Date updated:,5-Jan-21,,,,,,,,
Created by:,"Aswath Damodaran, adamodar@stern.nyu.edu",,,,,,,,
What is this data?,Enterprise value multiples,,,,Emerging Markets,,,,
Investments & Asset Management,392,15.80,15.87,22.50,31.97,85.61,85.96,136.05,193.31
Machinery,774,18.24,23.82,42.15,53.38,21.31,28.58,45.36,57.45
Metals & Mining,315,11.54,12.38,20.79,27.46,11.39,12.18,21.27,28.09
Office Equipment & Services,66,22.68,25.62,38.18,46.84,26.55,30.43,40.31,49.44
Oil/Gas (Integrated),26,10.07,10.26,17.42,30.16,6.56,6.64,17.42,30.16
Oil/Gas (Production and Exploration),118,6.06,6.13,12.41,17.02,4.72,4.76,12.63,17.33
Oil/Gas Distribution,105,7.32,7.33,11.98,13.99,7.49,7.50,12.18,14.22
Oilfield Svcs/Equip.,244,13.67,14.27,38.88,51.86,13.20,13.66,46.70,62.30
Packaging & Container,297,12.69,13.59,23.61,29.13,12.91,13.82,24.10,29.74
Paper/Forest Products,199,10.72,11.33,23.08,27.95,10.90,11.51,24.34,29.47
Power,378,8.39,8.49,14.60,18.47,8.38,8.48,14.80,18.72
Precious Metals,91,10.74,10.93,16.28,22.54,12.18,12.42,16.68,23.09
Publishing & Newspapers,174,13.77,15.22,25.66,28.07,13.84,15.18,27.99,30.62
R.E.I.T.,229,21.67,21.67,15.77,16.55,36.67,36.67,28.75,30.18
Real Estate (Development),768,9.30,9.34,9.99,15.49,9.42,9.47,10.52,16.31
Real Estate (General/Diversified),232,14.92,14.96,18.14,25.19,14.76,14.80,19.54,27.14
Real Estate (Operations & Services),352,19.20,19.51,23.69,27.59,18.79,19.07,24.41,28.44
Recreation,139,13.24,14.49,21.55,30.11,15.71,17.16,25.93,36.24
Reinsurance,30,9.43,9.43,9.45,10.36,10.16,10.16,10.57,11.60
Restaurant/Dining,133,28.52,28.69,NA,NA,24.45,24.56,NA,NA
Retail (Automotive),97,13.59,13.64,22.28,30.66,14.44,14.49,22.90,31.51
Retail (Building Supply),30,21.88,21.89,30.81,38.53,22.42,22.43,31.01,38.78
Retail (Distributors),629,11.96,12.31,19.19,24.99,13.07,13.45,20.88,27.18
Retail (General),140,14.75,14.88,33.25,45.44,12.99,13.09,34.83,47.61
Retail (Grocery and Food),71,14.64,14.67,25.88,33.40,15.49,15.53,26.06,33.63
Retail (Online),106,27.45,41.66,80.64,101.07,40.65,67.09,103.37,129.57
Retail (Special Lines),180,18.72,19.37,49.82,70.37,25.64,26.77,53.86,76.07
Rubber& Tires,74,8.10,9.54,19.56,24.78,8.87,10.51,20.85,26.41
Semiconductor,432,13.56,17.52,34.06,39.80,16.78,22.98,35.31,41.25
Semiconductor Equip,213,19.86,25.39,37.15,45.44,22.45,29.62,37.85,46.29
Shipbuilding & Marine,232,12.16,12.23,21.49,26.56,13.34,13.43,22.37,27.66
Shoe,58,22.01,27.56,52.48,76.25,16.48,19.37,53.17,77.25
Software (Entertainment),74,21.03,27.96,41.62,50.03,24.19,33.74,41.93,50.40
Software (Internet),49,26.21,38.22,150.50,NA,43.88,71.15,NA,NA
Software (System & Application),408,24.86,48.51,78.56,98.72,31.63,66.08,93.46,117.46
Steel,529,7.85,8.60,15.83,19.54,7.57,8.23,16.65,20.54
Telecom (Wireless),65,5.47,5.49,12.75,17.24,5.36,5.38,12.96,17.53
Telecom. Equipment,291,13.67,27.87,53.23,67.36,15.65,33.29,58.61,74.17
Telecom. Services,140,6.05,6.09,15.95,20.14,6.11,6.15,16.13,20.37
Tobacco,33,14.37,14.60,18.41,24.83,14.59,14.83,18.57,25.04
Transportation,196,13.41,13.70,24.47,33.37,13.88,14.17,24.96,34.05
Transportation (Railroads),16,14.07,14.12,21.34,28.55,11.16,11.19,21.38,28.59
Trucking,107,10.56,10.61,29.51,42.46,9.57,9.62,32.47,46.72
Utility (General),11,12.26,12.32,20.91,35.06,25.01,25.13,38.22,64.09
Utility (Water),69,9.77,9.86,13.66,18.04,9.40,9.48,13.99,18.48
Total Market,23680,12.86,14.21,23.04,30.93,15.71,17.26,29.79,39.99
Total Market (without financials),21332,12.05,13.39,22.28,30.24,12.22,13.49,24.09,32.70
